
2025/04/20 (15:08:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (15:08:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/20 (15:42:56) | ===> btop++ v.1.4.0
2025/04/20 (15:42:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (15:42:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/20 (15:57:32) | ===> btop++ v.1.4.0
2025/04/20 (15:57:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/20 (15:57:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/23 (23:01:59) | ===> btop++ v.1.4.0
2025/04/23 (23:01:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/23 (23:01:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
